TSTART (NuSTAR MET),TSTOP (NuSTAR MET),TPEAK (NuSTAR MET),T90 (s),FLUENCE (erg cm-2),FLUENCE_ERR (erg cm-2),HARDNESS (10-79keV/3-10keV),HARDNESS_ERR
403456441.397944,403456441.422556,403453325.25394,0.098871,1.958e-10,6.024e-11,0.258,0.214
403456733.446228,403456734.536186,403456129.517987,0.208849,8.132e-10,3.062e-10,0.761,0.578
403456790.280748,403456790.4986,403456222.1734201,0.303815,1.099e-09,3.464e-10,0.377,0.255
403457189.817439,403457190.011822,403456273.8908371,0.284002,7.430e-10,2.811e-10,2.524,2.122
403457228.049059,403457228.258197,403456441.402256,0.024611,5.120e-10,2.259e-10,1.525,1.410
403457466.907535,403457467.257528,403456733.556232,1.089957,5.035e-09,7.430e-10,1.002,0.297
403457750.53502,403457751.104993,403456790.35292506,0.217852,1.260e-09,3.614e-10,0.494,0.299
403457836.841399,403457837.150042,403457189.977527,0.194383,6.426e-10,2.610e-10,1.065,0.870
403458035.480327,403458035.517067,403457228.124894,0.209138,1.712e-09,4.267e-10,0.445,0.240
403458182.714594,403458182.824791,403457466.917544,0.349993,1.640e-08,1.516e-09,0.258,0.059
403458185.824861,403458186.049653,403457750.80500805,0.569973,1.012e-08,1.124e-09,0.589,0.135
403458196.469226,403458196.517668,403457836.86778903,0.308643,8.634e-10,3.062e-10,0.607,0.448
403458681.654724,403458682.312768,403458035.49050903,0.03674,8.785e-10,3.112e-10,0.989,0.695
403458737.006143,403458737.047654,403458182.737205,0.110197,1.094e-09,3.464e-10,0.260,0.206
403458932.271952,403458932.306067,403458185.946911,0.224793,9.739e-10,3.263e-10,0.516,0.363
403458993.989486,403458994.036733,403458196.49594307,0.048442,5.321e-10,2.359e-10,0.631,0.579
403461900.371105,403461900.691382,403458681.89999306,0.658045,1.546e-09,4.116e-10,0.962,0.512
403461972.458964,403461972.778724,403458737.03467,0.041511,1.200e-09,3.614e-10,0.374,0.255
403462208.29148,403462209.109612,403458932.28581905,0.034116,9.839e-10,3.263e-10,3.558,2.825
403462237.905851,403462237.941257,403458994.029881,0.047247,6.375e-10,2.610e-10,0.477,0.413
403462245.146736,403462245.250141,403461900.539853,0.320277,2.475e-09,6.175e-10,0.467,0.251
403462311.711447,403462312.30595,403461972.5063211,0.319759,1.566e-09,4.970e-10,0.668,0.433
403462427.046516,403462427.42688,403462208.56438303,0.818132,1.702e-09,4.568e-10,0.555,0.310
403462430.98798,403462431.37863,403462237.91285,0.035407,5.873e-10,2.610e-10,1.543,1.421
403462484.319401,403462485.379361,403462245.222466,0.103404,8.082e-10,3.062e-10,0.176,0.191
403462487.219236,403462488.409188,403462311.73893404,0.594503,9.940e-10,3.313e-10,0.500,0.353
403462527.546926,403462527.826929,403462427.40261304,0.380364,1.722e-09,4.317e-10,1.006,0.502
403462530.826736,403462532.016687,403462431.20240104,0.39065,1.064e-09,3.363e-10,0.430,0.296
403462534.21654,403462537.186388,403462485.009372,1.05996,2.361e-08,1.767e-09,0.504,0.080
403462540.846156,403462541.516137,403462487.689219,1.189952,6.230e-08,3.539e-09,0.424,0.053
403462548.225728,403462548.885709,403462527.566934,0.280004,4.413e-09,7.078e-10,0.386,0.138
403462554.88534,403462556.695254,403462531.2267231,1.189951,1.039e-08,1.094e-09,0.514,0.114
403462559.636391,403462559.796028,403462534.706522,2.969848,5.103e-08,2.666e-09,0.718,0.076
403462564.414783,403462566.394688,403462541.056154,0.669981,5.261e-09,7.681e-10,0.240,0.089
403462568.214561,403462570.504447,403462548.26573503,0.659982,4.347e-09,6.978e-10,1.439,0.468
403462581.353789,403462582.753727,403462555.825295,1.809914,4.004e-08,2.374e-09,0.457,0.058
403462588.80335,403462589.263343,403462559.715068,0.159637,3.429e-09,6.175e-10,0.192,0.093
403462595.452957,403462598.772781,403462565.6247231,1.979904,1.284e-08,1.220e-09,0.566,0.112
403462607.112266,403462610.052111,403462568.79453707,2.289886,3.368e-08,2.118e-09,0.538,0.071
403462618.261602,403462620.001518,403462581.793774,1.399938,3.356e-08,2.144e-09,0.496,0.067
403462626.501109,403462631.050857,403462588.97335005,0.459993,9.167e-09,1.034e-09,0.465,0.113
403462642.440152,403462643.870086,403462596.6728951,3.319823,1.573e-08,1.320e-09,0.649,0.111
403462648.649778,403462649.679736,403462608.852173,2.939845,3.279e-08,2.058e-09,0.527,0.069
403462652.497079,403462653.317671,403462619.24155307,1.739916,1.843e-08,1.561e-09,0.600,0.105
403462655.339374,403462655.649375,403462630.970852,4.549747,3.581e-08,2.134e-09,0.490,0.062
403462660.339071,403462661.129043,403462642.540156,1.429934,2.783e-08,1.968e-09,0.698,0.100
403462671.693606,403462672.027868,403462648.699785,1.029958,4.779e-09,7.229e-10,0.627,0.195
403462675.988119,403462677.838026,403462652.499555,0.820592,3.313e-09,5.974e-10,0.486,0.186
403462680.635265,403462681.044688,403462655.529372,0.310001,1.049e-08,1.150e-09,1.076,0.236
403462688.987324,403462690.327262,403462660.939044,0.789972,4.759e-09,7.279e-10,0.486,0.159
403462693.04731,403462694.088284,403462671.7583871,0.334262,2.686e-09,5.371e-10,0.564,0.235
403462701.416561,403462702.136536,403462677.058064,1.849907,1.334e-07,5.939e-09,0.503,0.047
403462704.935704,403462705.160011,403462681.02782106,0.409423,1.682e-09,4.217e-10,1.012,0.507
403462711.346286,403462711.499632,403462689.88727903,1.339938,5.114e-08,3.042e-09,0.405,0.053
403462715.925664,403462718.695513,403462693.30706906,1.040974,3.695e-09,6.325e-10,0.546,0.196
403462742.50401,403462743.433972,403462702.04653203,0.719976,1.278e-08,1.230e-09,0.654,0.128
403462745.363831,403462746.393786,403462705.046347,0.224307,1.712e-09,4.267e-10,0.459,0.248
403462750.00354,403462752.39341,403462711.44595206,0.153346,1.581e-09,4.066e-10,0.661,0.348
403462760.692868,403462761.072864,403462717.47557807,2.769848,6.467e-08,3.243e-09,0.775,0.079
403462763.721938,403462763.883998,403462742.564016,0.929962,1.929e-08,1.611e-09,0.628,0.107
403462767.475836,403462768.373437,403462746.063797,1.029956,6.325e-09,8.484e-10,0.622,0.171
403462771.022216,403462772.072169,403462750.96349,2.38987,2.841e-08,1.893e-09,0.326,0.051
403462777.486329,403462777.841474,403462760.732875,0.379996,7.078e-09,8.986e-10,0.502,0.135
403462785.451301,403462786.651244,403462763.73268604,0.16206,3.449e-09,6.325e-10,0.659,0.247
403462789.761026,403462790.401005,403462767.582443,0.897601,3.544e-09,6.175e-10,0.178,0.087
403462794.141255,403462794.694371,403462771.48219705,1.049954,3.668e-08,2.485e-09,0.333,0.052
403462800.960311,403462803.910142,403462777.711802,0.355145,2.641e-09,5.371e-10,0.713,0.295
403462814.339453,403462816.069361,403462785.94127905,1.199944,3.161e-08,2.134e-09,0.758,0.103
403462821.933702,403462822.062779,403462790.031019,0.639979,1.294e-08,1.225e-09,0.599,0.117
403462829.028505,403462831.328376,403462794.30074704,0.553116,2.159e-09,4.819e-10,0.541,0.253
403462835.478088,403462837.317988,403462802.49022305,2.949831,4.260e-08,2.400e-09,0.675,0.077
403462844.027532,403462844.587516,403462814.59944606,1.729909,8.459e-08,4.483e-09,0.479,0.055
403462847.017338,403462847.697313,403462821.968971,0.129077,1.762e-09,4.418e-10,0.618,0.321
403462854.594577,403462855.060681,403462831.3083681,2.299871,1.217e-08,1.200e-09,0.407,0.088
403462865.746113,403462868.185973,403462836.87800705,1.839901,4.476e-08,2.585e-09,0.519,0.063
403462885.99478,403462887.904673,403462844.11753607,0.559983,1.702e-08,1.536e-09,0.790,0.143
403462894.403277,403462894.997676,403462847.57731104,0.679976,4.734e-09,7.379e-10,0.948,0.297
403462898.383958,403462900.17386,403462854.726845,0.466105,1.632e-09,4.217e-10,0.456,0.247
403462899.823863,403462900.363847,403462867.026039,2.43986,1.827e-08,1.466e-09,0.840,0.135
403462907.708606,403462907.915265,403462886.794737,1.909894,2.583e-08,1.893e-09,0.802,0.118
403462913.322963,403462914.182926,403462894.78420806,0.5944,2.249e-09,4.920e-10,0.409,0.197
403462918.322629,403462918.612629,403462898.5039611,1.789901,1.762e-08,1.446e-09,0.622,0.104
403462928.425079,403462928.485556,403462899.9638641,0.539984,5.251e-09,7.681e-10,1.045,0.306
403462937.491341,403462938.771275,403462907.72334707,0.206659,1.496e-09,4.016e-10,1.838,1.024
403462944.206186,403462944.341056,403462913.472963,0.859963,8.243e-09,9.789e-10,0.535,0.133
403462954.770172,403462955.550139,403462918.35263705,0.290001,1.196e-08,1.255e-09,0.597,0.130
403462959.289865,403462961.159758,403462928.47195804,0.060478,1.270e-09,3.665e-10,0.339,0.226
403462969.123735,403462969.191692,403462938.7412671,1.279934,5.256e-09,7.580e-10,0.509,0.156
403462974.216886,403462974.778122,403462944.230896,0.13487,1.872e-09,4.518e-10,0.893,0.434
403462979.078514,403462979.628497,403462955.17015505,0.779967,1.254e-08,1.225e-09,0.713,0.141
403462987.329967,403462987.524562,403462959.379869,1.869893,1.593e-08,1.370e-09,0.583,0.103
403462991.084117,403462991.457991,403462969.129205,0.067957,7.580e-10,2.861e-10,1.323,1.002
403463009.926389,403463010.546366,403462974.298851,0.561237,2.149e-09,4.819e-10,0.821,0.368
403463017.315876,403463018.455816,403462979.178517,0.549982,8.885e-09,1.034e-09,0.542,0.132
403463029.934996,403463030.674965,403462987.347957,0.194594,2.289e-09,4.970e-10,0.750,0.331
403463039.17435,403463040.814255,403462991.1076981,0.373873,2.319e-09,5.070e-10,0.743,0.328
403463046.143861,403463046.883829,403463010.296373,0.619977,9.689e-09,1.099e-09,0.436,0.107
403463058.163015,403463061.642789,403463017.945842,1.139941,5.929e-08,3.173e-09,0.477,0.055
403463065.782476,403463068.482305,403463030.044999,0.739968,5.919e-09,8.283e-10,1.054,0.296
403463074.631849,403463075.651797,403463039.634328,1.639905,6.662e-09,8.584e-10,0.630,0.167
403463091.670636,403463092.530594,403463046.573841,0.739968,1.684e-08,1.546e-09,0.470,0.092
403463099.78821,403463101.710601,403463060.252877,3.479774,8.092e-09,9.287e-10,0.430,0.107
403463118.548706,403463118.978695,403463065.902478,2.699829,1.766e-08,1.411e-09,0.685,0.111
403463130.077872,403463132.377725,403463075.1918191,1.019948,8.802e-08,4.443e-09,0.613,0.064
